backen
befehlen
beginnen
beißen
bergen
bersten
beten
betten
bewegen
biegen
bieten
binden
bitten
blasen
erblassen
bleiben
braten
brechen
brennen
bringen
denken
drängen
dringen
dreschen
dürfen
empfangen
empfehlen
erlöschen
erschrecken
essen
fahren
fallen
fällen
fangen
fechten
finden
flechten
fliegen
fliehen
fließen
fressen
frieren
gären
gebären
geben
gedeihen
gehen
gelangen
gelingen
gelten
genesen
genießen
geschehen
gewinnen
gieren
gießen
gleichen
gleiten
glimmen
graben
greifen
haben
halten
hängen
hauen
heben
heißen
helfen
kennen
klingen
kneifen
kommen
können
kriechen
kriegen
laden
lassen
laufen
leiden
leihen
leiten
legen
lesen
liegen
lügen
mahlen
malen
meiden
melken
messen
misslingen
mögen
missen
müssen
nehmen
nennen
pfeifen
preisen
quellen
raten
reiben
reißen
reisen
reiten
rennen
riechen
ringen
rinnen
rufen
saufen
schaffen
scheiden
scheinen
scheißen
schelten
schieben
schießen
schlafen
schlagen
schleichen
schleifen
schließen
schlingen
schlingern
schmeißen
schmelzen
schneiden
schreiben
schreien
schreiten
schweigen
schwimmen
schwinden
schwingen
schwören
sehen
sein
senden
senken
singen
sinnen
sitzen
sollen
spalten
speien
spinnen
sprechen
sprießen
springen
stechen
stecken
stehen
stehlen
steigen
sterben
stinken
stoßen
streichen
streiten
tragen
treffen
treten
triefen
trinken
trügen
tun
verderben
vergessen
verlieren
verlöschen
wachsen
waschen
weben
weichen
weisen
wenden
werben
werden
werfen
wiegen
winden
winken
wissen
wollen
wringen
zeigen
zeihen
ziehen
zwingen
anfangen
antworten
arbeiten
ärgern
aufräumen
aufwachen
aussehen
baden
bauen
beeilen
beginnen
bekommen
bestellen
besuchen
beten
bewerben
bezahlen
biegen
bieten
bitten
bleiben
blicken
brauchen
brechen
bringen
bürsten
danken
dauern
denken
diskutieren
drücken
duschen
empfehlen
entscheiden
entschuldigen
entspannen
erinnern
erkälten
erkennen
erklären
erlauben
erleben
erzählen
essen
fahren
fallen
fangen
faulenzen
fehlen
feiern
finden
fliegen
folgen
fönen
fotografieren
fragen
freuen
fühlen
geben
gefallen
gehen
gehören
gewinnen
glauben
gratulieren
haben
halten
handeln
hängen
heiraten
heißen
helfen
hoffen
holen
hören
interessieren
joggen
kämmen
kaufen
kennen
klettern
klingen
kochen
kommen
konzentrieren
kosten
kriegen
küssen
lächeln
lachen
lassen
laufen
leben
legen
leihen
leiten
lernen
lesen
lieben
liegen
machen
meinen
nehmen
nennen
öffnen
packen
passen
passieren
planen
probieren
putzen
rasieren
reden
regnen
reisen
reiten
rennen
reservieren
retten
rufen
sagen
schaden
schaffen
schauen
scheinen
schenken
schicken
schlafen
schlagen
schließen
schmecken
schminken
schneiden
schneien
schreiben
schreien
schwimmen
sehen
sein
setzen
singen
sitzen
sparen
spielen
spinnen
sprechen
springen
stehen
steigen
stellen
sterben
stimmen
strecken
studieren
suchen
surfen
tanzen
teilen
tragen
träumen
treffen
trennen
treten
trinken
trocknen
tun
verdienen
vergessen
verlieben
verlieren
verloben
verstehen
vorbereiten
vorschlagen
wachsen
wandern
warten
waschen
weinen
werden
werfen
wiederholen
wissen
wohnen
wünschen
zahlen
zeigen
ziehen
