Aufbau einer Firma
Saucenkurs (Salatsaucen, Marinaden, ...)
Photoshop für Fortgeschrittene
Studiofotografie (food, produkte)
Pilateskurs flexibel
Spanisch für Anfänger
Grundkenntnisse in Musiktheorie, was muss ich als Anfänger wissen
Wie mache ich die richtige Grifftechnik auf der Gitarre
Wie illustriere ich einen (komplexen) Sachverhalt einfach und verständlich mit einer Zeichnung/Grafik
Wie bringe ich Schweissflecken von Shirts und Hemden
Wie mache ich schöne Portraitfotos / Gesichter fotografieren
Wie kann ich andere Menschen inspirieren
Wie kann ich aus alten Gebrauchtgegenständen coole neue Dinge fertigen
 Wie richte ich meine Wohnung auf einfache Art und Weise stylish ein
Wie führt man (korrekterweise) eine Rückenmassage durch
Wie probiert und beurteilt man (korrekterweise) einen Wein
Vorgehen bei Unfallsituationen (Auffrischer)
Wie man sich Beruhigen kann wenn man von 0 auf 100 getrieben wird.
Schminken wie die Superstars (z.B. Lady Gaga oder Amy Winehouse)
Die Spielregeln von American Football vertiefen
Das Basisiwissen über AngularJS lernen
Wie man am einfachsten ein Buch bindet
Wie man einen analogen Film fixiert, entwickelt und Abzüge davon erstellt
Wie man einen Kupferstich Druck, oder Lithographie ähnliche Druckvorlage erstellen kann.
bestes Vorgehen beim selber Parkett verlegen
Adobe Suite Crash-Kurs (vor allem Indesign, Illustrator & Photoshop)
Gartengestaltung, welche Pflanzen eignen sich (was blüht wann und wird wie gross etc.)
Schwimmtechnik, Koordination beim Crawl
Wie ein professionelles Interview aufgebaut ist und wie man seinem Gegenüber die richtigen Antworten entlockt.
Welche kurzen Entspannungsübungen man in den Alltag integrieren kann.
Welches Rückentraining Vielsitzern wirklich hilft.
Wie man Basilikum-Setzlinge anpflanzt, wo er am besten wächst/gedeiht und wie man ihn pflegen muss.
Wie flickt man eine Hausmauer im Wohnbereich, welche durch die Spannungen Risse aufweist? (Netz, Verstärkung, Abrieb, Malerei)
Wie demontiert man eine Duscholux-Duschkabine? (so dass diese danach wieder montiert werden kann)
Wie spielt man Poker
Wie schneidet man eine Tuja-Hecke in Bäumchenform
Effektive Übungen zur Stärkung der Rückenmuskulatur
Juristische Beratung zum Thema Konkubinat vs Hochzeit
Intensivkurs in Pflanzenkunde
Wie kompostiere ich richtig?
Wie kultiviere ich erfolgreich eine Tomatenstude?
Schneeketten montieren einfach gemacht.
Wie pflege ich mein Bike am besten?
Düngen: wie Dünge ich am besten und und umweltschonendsten?
Wie streiche ich draussen (Balkon und Terasse) Wände selber?
Wie kann ich ein Bild aufhängen? Bei welcher Wand brauche ich was?
Wie mache ich Fugen (draussen und drinnen) selber
Was kann Adobe InDesign – was ich noch nicht kann
Wie nähe ich meine geliebten baggy clothes ein
Kleine Einführung in die Massage – v.a. verspannte Schultern
Wie kann ich selber meine Haare nett frisieren, damit sie einen Tanz-Abend überstehen?
Wie man sein Blog bekannter macht
Wie man seine elektronischen Angelegenheiten (iPhone, iPad, iMac) am einfachsten und besten organisiert
Wie man Cupcakes macht
Wie man am besten Sushis rollt
Wie man selber verschiedene Arten von Zöpfen ins Haar flechtet
Crashkurs Tanzgrundschritte
Crashkurs Weinsprache
Wann hat welche Frucht und welches Gemüse Saison
Ich habe eine akustische Gitarre geerbt – und die soll nicht als Staubfänger enden
Wie bereite ich schnell und einfach tolle Drinks zu
Tipps und Tricks fürs Balkongärtli
Wie man eine Fahrradschaltung genau einstellt
Wie man kalte Akquise macht (am Telefon)
Wie man eine CNC-Fräse bedient
Wie man schweisst (Metall)
Häckeln
Silikonfugen
Flipchart zeichnen
Einfach Stop-Motion produzieren
Basic Holländisch starter-Lektion
Aktmalen für Dummies
Das Optimum aus meinem Grafiktablet rausholen
Gute Scribbles erstellen und colorieren am Computer
Designerbasteln mit Tante Berta
Möbel (Metall oder auch Holz) auf "alt trimme"
Wohnzimmer richtig ausleuchten
Beim Italiener italienisch bestellen
Eine Lampe installieren, ohne dass einem die Haare zu Berge stehe
Wie man den verstopften Abfluss im Bad entstopft (nicht mit Mitteli, so mit Rohr auseinanderschrauben und richtig wieder zusammensetzen :-)
Wie man eine perfekte Tortilla macht
Photoshop Basics, möglichst einfach Photos/Bilder bearbeiten
Studiofotografie, inkl. Beleuchtung mit möglichst einfachen mitteln
Ernährungstheorien kennen und verstehen
10min Meditieren im Alltag
Querlesen und dabei trotzdem das Wichtigste aufnehmen
Geschichten erzählen können
Manuelles visualisieren (von Hand) von gesprochenen Inhalten.
Motorboot fahren
