Baalweg
Bächlerstrasse
Bächlerweg
Bachmannweg
Bachmattstrasse
Bachmattweg
Bachofnerstrasse
Bachstrasse
Bachtelweg
Bachtobelstrasse
Bachtobelweg
Bächtoldstrasse
Bachwiesenstrasse
Bachwiesenweg
Bäckeranlage
Bäckerstrasse
Badenerstrasse
Badergasse
Badstrasse
Badweg
Bahnhaldenstrasse
Bahnhofbrücke
Bahnhofpassage
Bahnhofplatz
Bahnhofquai
Bahnhofstrasse
Bahnweg
Balberstrasse
Balderngasse
Balgriststrasse
Balgristweg
Ballonstrasse
Bändlistrasse
Bändliweg
Bannholzstrasse
Banzwiesenstrasse
Bärenbohlstrasse
Bärenbrüggli
Bärengasse
Baschligplatz
Baslerstrasse
Basteigasse
Basteiplatz
Batteriesteig
Batteriestrasse
Bauhallengasse
Bauherrenstrasse
Bäulisteig
Bäulistrasse
Baumackerstrasse
Baumgartnerstrasse
Baumgasse
Baumhaldenstrasse
Baumschulweg
Baurstrasse
Beatengasse
Beatenplatz
Beckenhofstrasse
Beckhammer
Bederstrasse
Beerirain
Beethovenstrasse
Begonienstrasse
Bellariarain
Bellariastrasse
Bellerivestrasse
Bellevueplatz
Bellikersteig
Belsitostrasse
Benedikt-Fontana-Weg
Beno-Eckmann-Weg
Bergacker
Bergellersteig
Bergellerstrasse
Berghaldenstrasse
Bergheimstrasse
Bergholzweg
Bergliweg
Bergmannweg
Bergstrasse
Bergweg
Bergwiesen
Berneggweg
Bernerstrasse
Bernerstrasse Nord
Bernerstrasse Süd
Bernhard-Jaeggi-Weg
Berninaplatz
Berninastrasse
Bertastrasse
Besenrainstrasse
Besenrainweg
Beustweg
Biberlinsburgweg
Biberlinstrasse
Biberlinweg
Bienenstrasse
Biketrail Höckler
Biketrail Triemli
Billeterstrasse
Billoweg
Billrothstrasse
Billrothweg
Binderweg
Binzallee
Binzmühlestrasse
Binzring
Binzstrasse
Binzwiesenstrasse
Bionstrasse
Birchdörfli
Bircher-Benner-Platz
Birchplatz
Birchsteg
Birchstrasse
Birkenweg
Birmensdorferstrasse
Birnbaumstrasse
Bläsistrasse
Blauäcker
Blaufahnenstrasse
Blaumeisliweg
Bleicherweg
Bleulerstrasse
Blindschleichenweg
Blumenfeldstrasse
Blumenweg
Blümlisalpstrasse
Bluntschlisteig
Blütenstrasse
Bockhornstrasse
Bocklerstrasse
Böcklinstrasse
Bodenacker
Bodmerstrasse
Bogenweg
Bolistrasse
Bolleystrasse
Bombachhalde
Bombachsteig
Bombachstrasse
Borrweg
Börsenstrasse
Brahmsstrasse
Brandbachweg
Brandholzstrasse
Brandschenkesteig
Brandschenkestrasse
Brandweg
Brauerstrasse
Breitenackerstrasse
Breitenlooweg
Breitensteinstrasse
Breitingerstrasse
Breitlooweg
Breitweg
Bremgartnerstrasse
Brinerstrasse
Bristenstrasse
Brombeeriweg
Brotgasse
Brown-Boveri-Strasse
Bruchstrasse
Brüderhofweg
Bruderholzweg
Bruderwies
Bruderwiesweg
Bruggerweg
Brugghölzliweg
Brüggliäcker
Brühlbachweg
Brühlweg
Brunaubrücke
Brunaustrasse
Bruneggweg
Brunnackerweg
Brünneliacker
Brünneliweg
Brunnenhofstrasse
Brunnenhofweg
Brunngasse
Brunnwiesenstrasse
Brupbacherplatz
Brüttenweg
Bubenbergstrasse
Bucheggplatz
Bucheggstrasse
Buchenbaumweg
Buchenrainstrasse
Buchenrainweg
Buchensteig
Buchenweg
Buchfinkenstrasse
Buchhölzlistrasse
Buchhölzliweg
Buchholzrain
Buchholzstrasse
Buchlernstrasse
Buchmattweg
Büchnerstrasse
Buchwiesen
Buchwiesenweg
Buchzelgstrasse
Buchzelgweg
Buckhauserstrasse
Bühleggweg
Bühlholzweg
Bühlstrasse
Bühlwiesenstrasse
Buhnrain
Buhnstrasse
Bührlestrasse
Bülachhof
Bülachstrasse
Bullingerhof
Bullingerplatz
Bullingerstrasse
Bungertweg
Burenweg
Burgdorferweg
Bürglistrasse
Burgsteig
Burgstrasse
Burgweg
Bürkliplatz
Burriweg
