Aadorf
Aarau
Aarberg
Aarburg
Aarwangen
Abtwil
Aclens
Acquarossa
Adelboden
Adligenswil
Adlikon
Adliswil
Aedermannsdorf
Aefligen
Aegerten
Aesch
Aesch
Aesch
Aeschi
Aeschi bei Spiez
Aetigkofen
Aetingen
Aeugst am Albis
Affeltrangen
Affoltern am Albis
Affoltern im Emmental
Agarn
Agiez
Agno
Aigle
Aire-la-Ville
Airolo
Alberswil
Albinen
Albligen
Alchenstorf
Allaman
Alle
Allmendingen
Allschwil
Almens
Alpnach
Alpthal
Altbüron
Altdorf
Altendorf
Alterswil
Altikon
Altishofen
Altnau
Alto Malcantone
Altstätten
Altwis
Alvaneu
Alvaschein
Amden
Amlikon-Bissegg
Ammerswil
Amriswil
Amsoldingen
Andeer
Andelfingen
Andermatt
Andiast
Andwil
Anières
Anniviers
Anwil
Anzonico
Appenzell
Apples
Aranno
Arbaz
Arbedo-Castione
Arboldswil
Arbon
Arch
Arconciel
Ardez
Ardon
Arisdorf
Aristau
Arlesheim
Arnex-sur-Nyon
Arnex-sur-Orbe
Arni
Arni
Arogno
Arosa
Arth
Arvigo
Arzier
Ascona
Assens
Astano
Attalens
Attelwil
Attinghausen
Attiswil
Au
Aubonne
Auboranges
Auenstein
Augst
Ausserberg
Auswil
Autafond
Autigny
Auvernier
Auw
Avegno-Gordevio
Avenches
Avers
Avry
Avully
Avusy
Ayent
